,Title,Series,Number,Status,Release Date,PDF Link
51,PRE-DRAFT Call for Comments | Information Security Handbook: A Guide for Managers,SP,800-100 Rev. 1,Draft,1/09/2024,https://doi.org/10.6028/NIST.SP.800-100
52,Migration to Post-Quantum Cryptography: Preparation for Considering the Implementation and Adoption of Quantum Safe Cryptography,SP,1800-38,Draft,12/19/2023,https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38b-preliminary-draft.pdf
53,Guidelines for the Authorization of PIV Card and Derived PIV Credential Issuers,SP,800-79 Rev. 3,Draft,12/13/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-79r3.ipd.pdf
54,Guidelines for Evaluating Differential Privacy Guarantees,SP,800-226,Draft,12/11/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-226.ipd.pdf
55,Cybersecurity Log Management Planning Guide,SP,800-92 Rev. 1,Draft,10/11/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-92r1.ipd.pdf
56,"Interfaces for Personal Identity Verification: Part 1 – PIV Card Application Namespace, Data Model and Representation",SP,800-73-5,Draft,9/27/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-73pt1-5.ipd.pdf
57,Cryptographic Algorithms and Key Sizes for Personal Identity Verification,SP,800-78-5,Draft,9/27/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-78-5.ipd.pdf
58,Interfaces for Personal Identity Verification: Part 2 – PIV Card Application Card Command Interface,SP,800-73-5,Draft,9/27/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-73pt2-5.ipd.pdf
59,Interfaces for Personal Identity Verification: Part 3 – PIV Client Application Programming Interface,SP,800-73-5,Draft,9/27/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-73pt3-5.ipd.pdf
60,"Implementing a Zero Trust Architecture (Volume E, Risk and Compliance Management)",SP,1800-35,Draft,9/12/2023,https://www.nccoe.nist.gov/sites/default/files/2023-09/zta-nist-sp-1800-35e-preliminary-draft-2.pdf
61,Building a Cybersecurity and Privacy Learning Program,SP,800-50 Rev. 1,Draft,8/28/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-50r1.ipd.pdf
62,Implementing a Zero Trust Architecture,SP,1800-35,Draft,8/22/2023,https://www.nccoe.nist.gov/sites/default/files/2023-08/zta-nist-sp-1800-35d-preliminary-draft-3.pdf
63,Automation of the NIST Cryptographic Module Validation Program,SP,1800-40,Draft,6/07/2023,https://www.nccoe.nist.gov/publications/practice-guide/automation-nist-cryptographic-module-validation-program-nist-sp-1800-40
64,Implementing Data Classification Practices,SP,1800-39,Draft,4/25/2023,https://www.nccoe.nist.gov/sites/default/files/2023-04/data-class-nist-sp-1800-39a-preliminary-draft.pdf
65,NIST Cloud Computing Forensic Reference Architecture,SP,800-201,Draft,2/08/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-201.ipd.pdf
66,Guidelines for Derived Personal Identity Verification (PIV) Credentials,SP,800-157 Rev. 1,Draft,1/10/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-157r1.ipd.pdf
67,Guidelines for Personal Identity Verification (PIV) Federation,SP,800-217,Draft,1/10/2023,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-217.ipd.pdf
68,Digital Identity Guidelines: Authentication and Lifecycle Management,SP,800-63B-4,Draft,12/16/2022,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63B-4.ipd.pdf
69,Digital Identity Guidelines: Enrollment and Identity Proofing,SP,800-63A-4,Draft,12/16/2022,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63A-4.ipd.pdf
70,Digital Identity Guidelines,SP,800-63-4,Draft,12/16/2022,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63-4.ipd.pdf
71,Digital Identity Guidelines: Federation and Assertions,SP,800-63C-4,Draft,12/16/2022,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63C-4.ipd.pdf
72,Recommendation for Random Bit Generator (RBG) Constructions,SP,800-90C,Draft,9/07/2022,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90C.3pd.pdf
73,5G Cybersecurity,SP,1800-33,Draft,4/25/2022,https://www.nccoe.nist.gov/sites/default/files/2022-04/nist-5G-sp1800-33b-preliminary-draft.pdf
74,CMVP Approved Non-Invasive Attack Mitigation Test Metrics: CMVP Validation Authority Updates to ISO/IEC 24759,SP,800-140F Rev. 1,Draft,8/20/2021,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Fr1-draft.pdf
75,Recommendation for Block Cipher Modes of Operation: Methods for Format-Preserving Encryption,SP,800-38G Rev. 1,Draft,2/28/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-38Gr1-draft.pdf
76,Recommendation for Key Establishment Using Symmetric Block Ciphers,SP,800-71,Draft,7/02/2018,https://csrc.nist.gov/files/pubs/sp/800/71/ipd/docs/sp800-71-draft.pdf
77,Guide to Data-Centric System Threat Modeling,SP,800-154,Draft,3/14/2016,https://csrc.nist.gov/files/pubs/sp/800/154/ipd/docs/sp800_154_draft.pdf
78,"NIST Definition of Microservices, Application Containers and System Virtual Machines",SP,800-180,Draft,2/18/2016,https://csrc.nist.gov/files/pubs/sp/800/180/ipd/docs/sp800-180_draft.pdf
79,A Role-Based Model for Federal Information Technology/Cybersecurity Training,SP,800-16 Rev. 1,Draft,3/14/2014,https://csrc.nist.gov/files/pubs/sp/800/16/r1/3pd/docs/sp800_16_rev1_3rd-draft.pdf
80,BIOS Integrity Measurement Guidelines,SP,800-155,Draft,12/08/2011,https://csrc.nist.gov/files/pubs/sp/800/155/ipd/docs/draft-sp800-155_dec2011.pdf
81,Secure IPv6-Only Implementation in the Enterprise,Project Description,,Draft,12/09/2021,https://www.nccoe.nist.gov/sites/default/files/2021-12/ipv6-project-description-draft.pdf
82,Improving Cybersecurity of Managed Service Providers (Supporting Small- and Medium-Sized Businesses),Project Description,,Draft,10/08/2019,https://www.nccoe.nist.gov/sites/default/files/library/project-descriptions/msp-ic-project-description-draft.pdf
83,Continuous Monitoring for IT Infrastructure: Techniques for auditing user activity and detecting irregular activity events within small and medium-size businesses,Project Description,,Draft,6/17/2019,https://www.nccoe.nist.gov/sites/default/files/library/project-descriptions/cont-mont-project-description-draft.pdf
84,Security for IoT Sensor Networks: Building Management Case Study,Project Description,,Draft,2/01/2019,https://www.nccoe.nist.gov/sites/default/files/library/project-descriptions/iot-sniot-sensor-network-project-description-draft.pdf
85,Privileged Account Management: Securing Privileged Accounts for the Financial Services Sector,Project Description,,Draft,10/12/2017,https://nccoe.nist.gov/sites/default/files/library/project-descriptions/fs-pam-project-description-draft.pdf
86,Authentication for Law Enforcement Vehicle Systems,Project Description,,Draft,9/13/2016,https://nccoe.nist.gov/sites/default/files/library/project-descriptions/psfr-alevs-project-description-draft.pdf
87,"Securing Non-Credit Card, Sensitive Consumer Data: Consumer Data Security for the Retail Sector",Project Description,,Draft,5/09/2016,https://www.nccoe.nist.gov/sites/default/files/legacy-files/cr-securing-consumer-data-project-description-draft.pdf
88,Cybersecurity Framework Election Infrastructure Profile,VTS,200-1,Final,2/01/2024,https://nvlpubs.nist.gov/nistpubs/vts/NIST.VTS.200-1.pdf
89,Adversarial Machine Learning: A Taxonomy and Terminology of Attacks and Mitigations,AI,100-2 E2023,Final,1/04/2024,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-2e2023.pdf
90,Survey and New Directions for Physics-Based Attack Detection in Control Systems,GCR,16-010,Final,11/21/2016,https://nvlpubs.nist.gov/nistpubs/gcr/2016/NIST.GCR.16-010.pdf
91,Attribute Based Access Control,Book,,Final,10/01/2017,https://csrc.nist.govhttp://us.artechhouse.com/Attribute-Based-Access-Control-P1911.aspx
92,Introduction to Combinatorial Testing,Book,,Final,6/20/2013,https://www.crcpress.com/Introduction-to-Combinatorial-Testing/Kuhn-Kacker-Lei/p/book/9781466552296
93,Role-Based Access Control (2nd ed.),Book,,Final,1/31/2007,https://csrc.nist.govhttp://us.artechhouse.com/Role-Based-Access-Control-Second-Edition-P1386.aspx
94,Role-Based Access Control (1st ed.),Book,,Final,1/01/2003,https://csrc.nist.govhttp://www.linuxjournal.com/article/6938
95,Executive Guide to Computer Security,Book,,Final,1/01/1974,https://csrc.nist.gov/files/pubs/book/1974/01/executive-guide-to-computer-security/final/docs/executive-guide-to-computer-security--brochure.pdf
96,NIST Phish Scale User Guide,TN,2276,Final,11/15/2023,https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.2276.pdf
97,BGP Secure Routing Extension (BGP-SRx): Reference Implementation and Test Tools for Emerging BGP Security Standards,TN,2060,Final,9/15/2021,https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.2060.pdf
98,An Empirical Study on Flow-based Botnet Attacks Prediction,TN,2111,Final,10/22/2020,https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.2111.pdf
99,Cybersecurity Framework Smart Grid Profile,TN,2051,Final,7/09/2019,https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.2051.pdf
100,A Methodology for Evaluating Alternative Technical and Information Management Approaches to Privacy Requirements,TN,906,Final,6/01/1976,https://nvlpubs.nist.gov/nistpubs/Legacy/TN/nbstechnicalnote906.pdf
101,Exploring Privacy and Data Security Costs: A Summary of a Workshop,TN,876,Final,8/01/1975,https://nvlpubs.nist.gov/nistpubs/Legacy/TN/nbstechnicalnote876.pdf
102,Controlled Accessibility Workshop Report,TN,827,Final,5/01/1974,https://nvlpubs.nist.gov/nistpubs/Legacy/TN/nbstechnicalnote827.pdf
103,"Government Looks at Privacy and Security in Computer Systems: Summary of a Conference held at the National Bureau of Standards, Gaithersburg, Maryland, November 19-20, 1973",TN,809,Final,2/01/1974,https://nvlpubs.nist.gov/nistpubs/Legacy/TN/nbstechnicalnote809.pdf
104,Controlled Accessibility Bibliography,TN,780,Final,6/01/1973,https://nvlpubs.nist.gov/nistpubs/Legacy/TN/nbstechnicalnote780.pdf
105,The NIST Cybersecurity Framework (CSF) 2.0,CSWP,29,Final,2/26/2024,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf
106,Automation Support for Control Assessments: Project Update and Vision,CSWP,30,Final,12/06/2023,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.30.pdf
107,Recommended Criteria for Cybersecurity Labeling of Consumer Software,CSWP,23,Final,2/04/2022,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02042022-1.pdf
108,Recommended Criteria for Cybersecurity Labeling for Consumer Internet of Things (IoT) Products,CSWP,24,Final,2/04/2022,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02042022-2.pdf
109,Benefits of an Updated Mapping between the NIST Cybersecurity Framework and the NERC Critical Infrastructure Protection Standards,CSWP,21,Final,9/29/2021,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.09292021.pdf
110,Getting Ready for Post-Quantum Cryptography: Exploring Challenges Associated with Adopting and Using Post-Quantum Cryptographic Algorithms,CSWP,15,Final,4/28/2021,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.04282021.pdf
111,Case Studies in Cyber Supply Chain Risk Management: Anonymous Renewable Energy Company,CSWP,11C,Final,2/04/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02042020-4.pdf
112,Case Studies in Cyber Supply Chain Risk Management: Anonymous Consumer Electronics Company,CSWP,11A,Final,2/04/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02042020-2.pdf
113,Case Studies in Cyber Supply Chain Risk Management: Mayo Clinic,CSWP,11D,Final,2/04/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02042020-5.pdf
114,"Case Studies in Cyber Supply Chain Risk Management: Palo Alto Networks, Inc.",CSWP,11E,Final,2/04/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02042020-6.pdf
115,Case Studies in Cyber Supply Chain Risk Management: Anonymous Consumer Goods Company,CSWP,11B,Final,2/04/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02042020-3.pdf
116,Case Studies in Cyber Supply Chain Risk Management: Seagate Technology,CSWP,11F,Final,2/04/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02042020-7.pdf
117,"NIST Privacy Framework: A Tool for Improving Privacy Through Enterprise Risk Management, Version 1.0",CSWP,10,Final,1/16/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.01162020.pdf
118,A Taxonomic Approach to Understanding Emerging Blockchain Identity Management Systems,CSWP,9,Final,1/14/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.01142020.pdf
119,BowTie – A deep learning feedforward neural network for sentiment analysis,CSWP,8,Final,4/22/2019,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.04222019.pdf
120,Security Considerations for Code Signing,CSWP,5,Final,1/26/2018,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.01262018.pdf
121,Best Practices for Privileged User PIV Authentication,CSWP,4,Final,4/21/2016,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.04212016.pdf
122,"Summary of NIST SP 800-53, Revision 4: Security and Privacy Controls for Federal Information Systems and Organizations",CSWP,2,Final,2/19/2014,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02192014.pdf
123,"Framework for Improving Critical Infrastructure Cybersecurity, Version 1.0",CSWP,1,Final,2/12/2014,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.02122014.pdf
124,Advanced Encryption Standard (AES),FIPS,197,Final,5/09/2023,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.197-upd1.pdf
125,Digital Signature Standard (DSS),FIPS,186-5,Final,2/03/2023,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.186-5.pdf
126,Personal Identity Verification (PIV) of Federal Employees and Contractors,FIPS,201-3,Final,1/24/2022,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.201-3.pdf
127,Security Requirements for Cryptographic Modules,FIPS,140-3,Final,3/22/2019,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf
128,Secure Hash Standard (SHS),FIPS,180-4,Final,8/04/2015,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.180-4.pdf
129,SHA-3 Standard: Permutation-Based Hash and Extendable-Output Functions,FIPS,202,Final,8/04/2015,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.202.pdf
130,The Keyed-Hash Message Authentication Code (HMAC),FIPS,198-1,Final,7/16/2008,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.198-1.pdf
131,Minimum Security Requirements for Federal Information and Information Systems,FIPS,200,Final,3/01/2006,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.200.pdf
132,Standards for Security Categorization of Federal Information and Information Systems,FIPS,199,Final,2/01/2004,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.199.pdf
133,Security Requirements for Cryptographic Modules,FIPS,140-2,Final,12/03/2002,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-2.pdf
134,Handout | Users Are Not Stupid: Six Cybersecurity Pitfalls Overturned,Other,,Final,1/30/2023,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=936113
135,Resistance of Ascon Family against Conditional Cube Attacks in Nonce-Misuse Setting,Other,,Final,10/25/2022,https://eprint.iacr.org/2022/1456
136,Software Security in Supply Chains,Other,,Final,5/05/2022,https://www.nist.gov/document/guidance-supply-chain-security-under-eo-14028-section-4c4d
137,Coalition and Threshold Hash-Based Signatures,Other,,Final,2/25/2022,https://eprint.iacr.org/archive/2022/241/20220225:081240
138,Getting Started with Cybersecurity Risk Management: Ransomware,Other,,Final,2/24/2022,https://csrc.nist.gov/files/pubs/other/2022/02/24/getting-started-with-cybersecurity-risk-management/final/docs/quick-start-guide--ransomware.pdf
139,Software Supply Chain Security Guidance Under Executive Order (EO) 14028 Section 4e,Other,,Final,2/04/2022,https://www.nist.gov/document/software-supply-chain-security-guidance-under-executive-order-eo-14028-section-4e
140,Privacy-enhancing cryptography tools to complement differential privacy techniques,Other,,Final,11/03/2021,https://www.nist.gov/blogs/cybersecurity-insights/privacy-enhancing-cryptography-complement-differential-privacy
141,On the Multiplicative Complexity of Cubic Boolean Functions,Other,,Final,8/11/2021,https://eprint.iacr.org/2021/1041
142,On the Effect of Projection on Rank Attacks in Multivariate Cryptography,Other,,Final,5/19/2021,https://eprint.iacr.org/2021/655
143,Recovering the Key from the Internal State of Grain-128AEAD,Other,,Final,4/03/2021,https://eprint.iacr.org/2021/439
144,New Practical Multivariate Signatures from a Nonlinear Modifier,Other,,Final,4/01/2021,https://eprint.iacr.org/2021/429
145,Can you tell? SSNet - a Sagittal Stratum-inspired Neural Network Framework for Sentiment Analysis,Other,,Final,3/04/2021,https://arxiv.org/abs/2006.12958v3
146,The membership problem for constant-sized quantum correlations is undecidable,Other,,Final,1/26/2021,https://arxiv.org/pdf/2101.11087.pdf
147,Observations on COMET,Other,,Final,11/16/2020,https://eprint.iacr.org/2020/1445
148,Rainbow Band Separation is Better than we Thought,Other,,Final,6/20/2020,https://eprint.iacr.org/2020/702
